t,vx,vy,vz,omega
1.635238709449768066e+02,5.639321616053856456e-02,-6.985961803401741221e-02,1.201642165505686644e-01,0.000000000000000000e+00
1.636612021923065186e+02,5.634737145453097562e-02,-6.989770374841418332e-02,1.201635749337711390e-01,0.000000000000000000e+00
1.638066642284393311e+02,3.038100332538604467e-02,-4.817013234646518732e-02,1.387682708210594973e-01,0.000000000000000000e+00
1.639448418617248535e+02,1.898696238941730702e-02,-2.891418449438379681e-02,1.459570662703508492e-01,0.000000000000000000e+00
1.640874340534210205e+02,1.956277693933981127e-02,-3.247616787248355091e-02,1.451295844365989296e-01,0.000000000000000000e+00
1.642307701110839844e+02,2.560582479455859872e-02,-3.891563857448254032e-02,1.425830102464196447e-01,0.000000000000000000e+00
1.643676121234893799e+02,2.834572168632227065e-02,-4.041493884018777100e-02,1.416444590537357939e-01,0.000000000000000000e+00
1.645098557472229004e+02,2.919878625903947131e-02,-3.820750140872165856e-02,1.420831366387350636e-01,0.000000000000000000e+00
1.646512377262115479e+02,3.352080343342933588e-02,-4.762270878271847308e-02,1.382332570164422347e-01,0.000000000000000000e+00
1.647916395664215088e+02,3.340712256013573384e-02,-5.469627429154933634e-02,1.356181467978222754e-01,0.000000000000000000e+00
1.649319260120391846e+02,3.753544961437173949e-02,-6.302364271097517234e-02,1.308400186551740840e-01,0.000000000000000000e+00
1.650740904808044434e+02,3.519815288159806183e-02,-7.680778459165651939e-02,1.239421407748201864e-01,0.000000000000000000e+00
1.652173483371734619e+02,3.993842986138563395e-02,-9.718995661791406115e-02,1.070468782955166787e-01,0.000000000000000000e+00
1.653569056987762451e+02,5.008329280522275107e-02,-9.503148176814997516e-02,1.046932722515449138e-01,0.000000000000000000e+00
1.654976162910461426e+02,4.095924470697176467e-02,-8.836228833010803529e-02,1.140808760226763863e-01,0.000000000000000000e+00
1.656386365890502930e+02,3.538888683014210224e-02,-8.317383542232514859e-02,1.197068911552854609e-01,0.000000000000000000e+00
1.657807331085205078e+02,3.563232516006369088e-02,-6.799799283999977129e-02,1.288666379379039828e-01,0.000000000000000000e+00
1.659187612533569336e+02,3.362461501713077255e-02,-7.288765988918877170e-02,1.267153278053909649e-01,0.000000000000000000e+00
1.660594952106475830e+02,3.573642134834725120e-02,-7.605403019816754651e-02,1.242525359090493609e-01,0.000000000000000000e+00
1.662045845985412598e+02,3.473703153811501937e-02,-6.943287893374126829e-02,1.283449023642638520e-01,0.000000000000000000e+00
1.663438439369201660e+02,3.043728523688908963e-02,-6.743011516768947222e-02,1.304865940849112005e-01,0.000000000000000000e+00
1.664893074035644531e+02,3.046504323812774737e-02,-6.770980920214422771e-02,1.303351943195245888e-01,0.000000000000000000e+00
1.666308944225311279e+02,2.853308652843017379e-02,-4.699597694545378651e-02,1.395608867989290847e-01,0.000000000000000000e+00
