t,m1,m2,m3,m4,vbat
1.309695911407470703e+02,4.974700000000000000e+04,4.694200000000000000e+04,4.665500000000000000e+04,4.586100000000000000e+04,3.320234775543212891e+00
1.310181295871734619e+02,4.869000000000000000e+04,4.990400000000000000e+04,4.674900000000000000e+04,4.332400000000000000e+04,3.320234775543212891e+00
1.310648167133331299e+02,4.881300000000000000e+04,5.086900000000000000e+04,4.548300000000000000e+04,4.352400000000000000e+04,3.320234775543212891e+00
1.311115984916687012e+02,4.793200000000000000e+04,5.071300000000000000e+04,4.513000000000000000e+04,4.544300000000000000e+04,3.320234775543212891e+00
1.311598267555236816e+02,4.498400000000000000e+04,5.038300000000000000e+04,4.676800000000000000e+04,4.744500000000000000e+04,3.320234775543212891e+00
1.312065546512603760e+02,4.602200000000000000e+04,5.058800000000000000e+04,4.488900000000000000e+04,4.791500000000000000e+04,3.320234775543212891e+00
1.312559146881103516e+02,4.453100000000000000e+04,5.230600000000000000e+04,4.469400000000000000e+04,4.708600000000000000e+04,3.320234775543212891e+00
1.313022940158843994e+02,4.325300000000000000e+04,5.222500000000000000e+04,4.494100000000000000e+04,4.792300000000000000e+04,3.320234775543212891e+00
1.313478157520294189e+02,4.207500000000000000e+04,5.226300000000000000e+04,4.546000000000000000e+04,4.780400000000000000e+04,3.320234775543212891e+00
1.313924391269683838e+02,4.191200000000000000e+04,5.210800000000000000e+04,4.436000000000000000e+04,4.787400000000000000e+04,3.325513362884521484e+00
1.314390287399291992e+02,4.373700000000000000e+04,5.164900000000000000e+04,4.355500000000000000e+04,4.731000000000000000e+04,3.325513362884521484e+00
1.314868497848510742e+02,4.296500000000000000e+04,5.025800000000000000e+04,4.457800000000000000e+04,4.825000000000000000e+04,3.325513362884521484e+00
1.315340733528137207e+02,4.369100000000000000e+04,4.994800000000000000e+04,4.482200000000000000e+04,4.729300000000000000e+04,3.325513362884521484e+00
1.315763325691223145e+02,4.554000000000000000e+04,5.033700000000000000e+04,4.380600000000000000e+04,4.565800000000000000e+04,3.330791950225830078e+00
1.316206650733947754e+02,4.672800000000000000e+04,4.936500000000000000e+04,4.303300000000000000e+04,4.627300000000000000e+04,3.325513362884521484e+00
1.316660680770874023e+02,4.620100000000000000e+04,4.906800000000000000e+04,4.504700000000000000e+04,4.627500000000000000e+04,3.325513362884521484e+00
1.317088713645935059e+02,4.858400000000000000e+04,5.210700000000000000e+04,4.906100000000000000e+04,4.861000000000000000e+04,3.325513362884521484e+00
1.317520732879638672e+02,4.481300000000000000e+04,4.995400000000000000e+04,4.802600000000000000e+04,4.509900000000000000e+04,3.299120187759399414e+00
