t,x,y,z,yaw
3.271120612621307373e+02,2.341950893402099609e+00,-4.003488540649414062e+00,1.042924165725708008e+00,-1.394205922399863011e-02
3.271760537624359131e+02,2.343171596527099609e+00,-4.007540702819824219e+00,1.022407054901123047e+00,-1.376400609918082205e-02
3.272366030216217041e+02,2.343171596527099609e+00,-4.007540702819824219e+00,1.022407054901123047e+00,-1.376400609918082205e-02
3.273101315498352051e+02,2.344476222991943359e+00,-4.012340545654296875e+00,1.000503778457641602e+00,-1.282282416400080081e-02
3.273695330619812012e+02,2.345838069915771484e+00,-4.015382289886474609e+00,9.827223420143127441e-01,-1.124884706579083390e-02
3.274274802207946777e+02,2.345838069915771484e+00,-4.015382289886474609e+00,9.827223420143127441e-01,-1.124884706579083390e-02
3.274927539825439453e+02,2.346526622772216797e+00,-4.014743804931640625e+00,9.681138992309570312e-01,-1.013739030871117427e-02
3.275500936508178711e+02,2.346811771392822266e+00,-4.012389659881591797e+00,9.538841247558593750e-01,-8.400413707774796040e-03
3.276078681945800781e+02,2.346811771392822266e+00,-4.012389659881591797e+00,9.538841247558593750e-01,-8.400413707774796040e-03
3.276760172843933105e+02,2.342842340469360352e+00,-4.026618957519531250e+00,9.177397489547729492e-01,-7.497919388914681300e-03
3.277365934848785400e+02,2.342842340469360352e+00,-4.026618957519531250e+00,9.177397489547729492e-01,-7.497919388914681300e-03
3.277990832328796387e+02,2.341231584548950195e+00,-4.028261661529541016e+00,8.972846269607543945e-01,-9.144190387598644110e-03
3.278615334033966064e+02,2.336965084075927734e+00,-4.030017375946044922e+00,8.792830109596252441e-01,-1.071240527905940876e-02
3.279263792037963867e+02,2.336965084075927734e+00,-4.030017375946044922e+00,8.792830109596252441e-01,-1.071240527905940876e-02
3.279893970489501953e+02,2.332744836807250977e+00,-4.029937267303466797e+00,8.652099370956420898e-01,-1.247038496235053882e-02
3.280505528450012207e+02,2.326461315155029297e+00,-4.029198646545410156e+00,8.500636219978332520e-01,-1.383386518382226545e-02
3.281109945774078369e+02,2.326461315155029297e+00,-4.029198646545410156e+00,8.500636219978332520e-01,-1.383386518382226545e-02
3.281791841983795166e+02,2.320621490478515625e+00,-4.026934623718261719e+00,8.369758129119873047e-01,-1.380116863965773037e-02
3.283057775497436523e+02,2.313570976257324219e+00,-4.025295257568359375e+00,8.204793334007263184e-01,-1.293218437745138720e-02
3.284845092296600342e+02,2.294844150543212891e+00,-4.021588325500488281e+00,7.892111539840698242e-01,-1.036594362569961264e-02
3.286703765392303467e+02,2.276932001113891602e+00,-4.016320705413818359e+00,7.593606710433959961e-01,-1.133252337918166236e-02
3.287293159961700439e+02,2.276932001113891602e+00,-4.016320705413818359e+00,7.593606710433959961e-01,-1.133252337918166236e-02
3.287971959114074707e+02,2.264282703399658203e+00,-4.012245178222656250e+00,7.441803216934204102e-01,-1.131063656426987279e-02
3.288671245574951172e+02,2.251566410064697266e+00,-4.008618354797363281e+00,7.304672002792358398e-01,-1.152451752812766288e-02
3.289294435977935791e+02,2.251566410064697266e+00,-4.008618354797363281e+00,7.304672002792358398e-01,-1.152451752812766288e-02
3.289961678981781006e+02,2.239555597305297852e+00,-4.003538131713867188e+00,7.170379757881164551e-01,-1.253582798495003238e-02
3.290602622032165527e+02,2.227582216262817383e+00,-3.997832059860229492e+00,6.999949216842651367e-01,-1.394121866377957646e-02
3.291225106716156006e+02,2.227582216262817383e+00,-3.997832059860229492e+00,6.999949216842651367e-01,-1.394121866377957646e-02
3.291859989166259766e+02,2.216752529144287109e+00,-3.992088556289672852e+00,6.838139891624450684e-01,-1.428939888828031565e-02
3.292471892833709717e+02,2.205613374710083008e+00,-3.987375020980834961e+00,6.674409508705139160e-01,-1.488225703793208399e-02
3.293072509765625000e+02,2.205613374710083008e+00,-3.987375020980834961e+00,6.674409508705139160e-01,-1.488225703793208399e-02
3.293680746555328369e+02,2.194632053375244141e+00,-3.981359243392944336e+00,6.501414775848388672e-01,-1.478517025203648395e-02
3.294502122402191162e+02,2.183873176574707031e+00,-3.975855827331542969e+00,6.328467130661010742e-01,-1.584205301271553526e-02
3.295117034912109375e+02,2.183873176574707031e+00,-3.975855827331542969e+00,6.328467130661010742e-01,-1.584205301271553526e-02
3.295909144878387451e+02,2.183873176574707031e+00,-3.975855827331542969e+00,6.328467130661010742e-01,-1.584205301271553526e-02
3.296815323829650879e+02,2.161895751953125000e+00,-3.963432073593139648e+00,6.001013517379760742e-01,-1.841602317341234363e-02
3.297480010986328125e+02,2.149701595306396484e+00,-3.955121994018554688e+00,5.803525447845458984e-01,-1.703725994429438131e-02
3.298133122920989990e+02,2.149701595306396484e+00,-3.955121994018554688e+00,5.803525447845458984e-01,-1.703725994429438131e-02
